day1_temp,day1_humid,day1_windspd,day2_temp,day2_humid,day2_windspd,day3_temp,day3_humid,day3_windspd,day4_temp,day4_humid,day4_windspd,day5_temp,day5_humid,day5_windspd,y_day6_temp,y_change
-7.5,0.86,0.7,-9.6,0.9,0.8,-10.1,0.85,0.8,-6.1,0.87,0.0,-4.0,0.84,1.4,-4.2,0
-3.8,0.81,3.6,-8.6,0.81,1.7,-8.0,0.87,0.8,-5.6,0.93,0.7,-1.6,0.89,2.4,-8.5,0
-11.8,0.8,0.7,-9.4,0.81,2.6,-7.8,0.81,2.6,-4.8,0.83,1.6,-3.2,0.93,2.6,-3.2,0
-2.4,0.87,6.5,-5.2,0.77,6.5,-11.6,0.72,4.3,-16.1,0.84,1.2,-11.2,0.87,1.5,-9.8,1
-12.2,0.76,1.7,-17.0,0.79,0.7,-13.3,0.73,5.5,-14.6,0.8,1.0,-8.8,0.84,0.3,-9.6,0
-10.8,0.9,0.5,-7.5,0.86,1.9,-3.6,0.9,1.4,-1.7,0.9,1.2,-0.6,0.79,3.2,3.9,1
2.2,0.86,2.2,3.1,0.47,5.7,3.9,0.87,5.7,3.8,0.68,4.8,1.1,0.83,1.2,2.2,1
3.4,0.94,2.4,2.8,0.95,0.7,0.1,0.79,3.1,-3.1,0.86,2.6,3.0,0.96,3.1,1.1,0
0.1,0.91,1.3,-0.9,0.82,1.0,-3.1,0.72,2.6,-9.1,0.68,2.1,-12.3,0.74,1.2,-4.5,1
0.3,0.95,4.4,0.2,0.93,1.2,-0.4,0.88,3.6,-6.4,0.77,2.9,-10.2,0.82,1.5,-2.5,1
1.3,0.97,4.1,1.2,0.95,3.8,-0.7,0.9,3.4,-0.8,0.81,3.3,-0.9,0.87,0.7,-2.0,0
-3.7,0.81,0.5,-2.9,0.87,1.4,-3.7,0.86,1.3,-7.2,0.82,0.8,-3.5,0.81,1.2,-1.8,1
-0.4,0.69,1.6,-3.1,0.8,1.4,-1.1,0.83,1.2,-2.8,0.82,1.7,-4.1,0.79,1.4,-4.1,0
-1.5,0.72,2.4,-1.3,0.76,1.2,-6.6,0.94,1.0,-8.2,0.87,1.7,-5.0,0.83,1.4,-5.6,0
-3.6,0.78,2.4,-2.4,0.89,2.3,-0.5,0.85,2.9,0.8,0.92,2.8,0.9,0.94,1.2,0.6,0
4.5,0.86,3.1,2.7,0.89,1.7,3.3,0.48,3.9,2.7,0.61,1.2,1.6,0.68,0.5,4.1,1
1.7,0.7,1.4,5.1,0.57,1.5,3.7,0.7,0.5,4.6,0.62,1.4,1.2,0.5,2.6,1.5,1
4.2,0.72,1.7,5.0,0.64,1.4,4.7,0.7,1.5,2.8,0.76,1.3,0.5,0.96,1.9,3.2,1
5.3,0.57,2.1,3.3,0.87,0.8,4.2,0.63,4.3,4.4,0.48,2.4,2.9,0.88,5.3,4.7,1
3.7,0.42,5.0,5.6,0.44,4.6,2.4,0.33,6.9,1.9,0.33,5.5,1.9,0.36,1.9,2.0,1
5.1,0.27,5.8,4.5,0.45,8.6,0.4,0.8,4.1,2.2,0.78,2.6,4.3,0.72,1.7,6.2,1
6.9,0.62,1.9,8.0,0.63,2.1,10.3,0.52,2.4,9.9,0.52,1.6,9.8,0.47,1.4,10.7,1
